Flight,DayOfWeek,Time,Length,Airline_encoded,AirportFrom_encoded,AirportTo_encoded,Delay
1557,3,645,175,17,162,12,1
577,3,525,160,17,23,113,1
3958,3,810,100,14,65,127,1
1497,3,740,213,4,130,56,1
5145,3,653,117,10,123,7,1
729,3,635,85,17,133,63,1
2121,3,420,115,17,127,3,0
3667,3,695,130,14,183,44,0
6280,3,680,71,9,136,73,0
4692,3,590,135,7,5,118,0
2006,3,1180,170,4,86,59,1
3957,3,360,76,8,121,4,1
2692,3,360,105,12,171,1,0
5496,3,898,95,10,54,227,0
447,3,1045,185,2,108,2,0
3057,3,908,109,11,29,0,0
1710,3,1270,155,2,71,20,0
1872,3,380,90,4,23,7,0
1746,3,840,220,4,1,7,0
2757,3,890,185,12,35,12,0
5955,3,605,128,11,49,6,0
360,4,455,127,15,54,25,0
1031,3,1105,195,2,72,2,0
7765,3,735,53,7,180,10,1
821,3,935,210,2,82,37,1
5980,3,1079,108,11,65,98,1
2921,4,388,182,11,106,0,0
6680,4,420,79,9,121,5,0
1020,3,710,80,2,71,86,0
546,3,1005,60,17,21,137,1
1050,3,360,57,1,131,1,0
578,4,360,111,1,0,12,0
1481,4,365,185,17,44,24,0
109,3,485,84,5,101,9,0
1769,3,1331,108,1,108,85,1
1965,3,535,240,2,71,18,0
5089,3,1079,106,10,91,7,0
6262,3,355,137,9,18,5,1
2788,3,1140,75,17,133,15,1
268,4,393,107,13,18,24,0
1290,3,1050,185,2,267,19,1
1813,3,465,100,1,108,76,1
1865,3,1205,205,2,71,87,0
6833,3,597,54,7,55,3,0
2020,3,1230,80,17,127,33,1
1014,4,430,66,0,71,0,1
7101,3,336,110,10,68,20,0
45,3,920,105,17,128,50,1
5072,3,891,105,10,54,186,1
2013,3,1140,240,2,65,33,1
4446,3,915,80,7,5,161,0
1591,4,380,80,17,53,35,0
1878,3,975,85,1,53,35,1
912,4,375,85,17,133,63,0
334,4,440,100,2,71,49,0
6363,3,1223,120,7,5,15,1
5485,3,822,72,10,54,156,1
903,3,1135,180,17,137,37,1
1952,3,585,101,4,75,7,0
825,3,420,75,17,30,99,0
68,3,360,160,5,72,9,1
4223,3,1055,58,8,130,75,1
1705,3,785,135,2,71,4,0
1178,3,405,123,0,65,39,1
856,3,1100,85,17,0,45,1
2692,3,1140,189,4,1,4,0
3640,4,425,170,14,75,19,0
2704,3,700,130,14,71,114,0
1604,3,785,108,4,228,10,0
1696,3,577,150,4,54,59,1
1406,3,540,95,2,71,141,1
1411,3,715,190,4,130,24,0
6302,4,450,130,9,136,35,1
323,3,805,67,0,102,86,1
4624,3,385,104,7,94,10,1
1810,3,360,220,0,127,0,0
2648,4,415,72,4,69,7,0
3761,3,1180,85,17,166,3,0
2791,3,815,135,11,102,27,0
1431,3,465,322,1,108,15,1
395,4,450,136,13,21,18,0
3656,3,410,60,8,232,4,0
375,4,450,70,17,1,45,0
6733,3,543,214,7,70,24,1
2803,3,670,75,14,71,180,0
4518,3,760,83,7,5,24,0
6987,3,1110,108,7,44,6,0
887,3,440,125,15,30,30,0
272,3,745,75,17,202,45,0
728,4,450,196,16,6,40,0
2004,3,940,185,2,65,19,1
1853,3,540,162,0,64,85,0
7078,3,858,80,10,134,20,1
5137,3,1220,97,10,54,97,0
744,3,487,227,13,6,35,0
4692,3,1200,125,14,82,68,1
454,3,485,134,16,16,25,1
