Delay,Flight,DayOfWeek,Time,Length,Airline_enc,AirportFrom_enc,AirportTo_enc
1,1557,3,645,175,15,126,213
1,577,3,525,160,15,271,41
1,3958,3,810,100,10,204,233
1,1497,3,740,213,5,83,239
1,5145,3,653,117,6,273,14
1,729,3,635,85,15,198,259
0,2121,3,420,115,15,257,247
0,3667,3,695,130,10,180,279
0,6280,3,680,71,11,69,216
0,4692,3,590,135,12,256,200
1,2006,3,1180,170,5,209,20
1,3957,3,360,76,0,15,193
0,2692,3,360,105,17,174,58
0,5496,3,898,95,6,14,51
0,447,3,1045,185,1,58,78
0,3057,3,908,109,16,281,132
0,1710,3,1270,155,1,78,131
0,1872,3,380,90,5,271,14
0,1746,3,840,220,5,213,14
0,2757,3,890,185,17,82,213
0,5955,3,605,128,16,45,204
0,360,4,455,127,8,14,156
0,1031,3,1105,195,1,102,78
1,7765,3,735,53,12,215,256
1,821,3,935,210,1,145,102
1,5980,3,1079,108,16,204,283
0,2921,4,388,182,16,117,132
0,6680,4,420,79,11,15,83
0,1020,3,710,80,1,78,194
1,546,3,1005,60,15,247,109
0,1050,3,360,57,14,228,58
0,578,4,360,111,14,248,213
0,1481,4,365,185,15,31,77
0,109,3,485,84,3,41,145
1,1769,3,1331,108,14,58,236
0,1965,3,535,240,1,78,248
0,5089,3,1079,106,6,251,14
1,6262,3,355,137,11,201,83
1,2788,3,1140,75,15,198,151
0,268,4,393,107,13,201,77
1,1290,3,1050,185,1,265,180
1,1813,3,465,100,14,58,271
0,1865,3,1205,205,1,78,42
0,6833,3,597,54,12,210,247
1,2020,3,1230,80,15,257,150
1,1014,4,430,66,4,78,132
0,7101,3,336,110,6,40,131
1,45,3,920,105,15,263,73
1,5072,3,891,105,6,14,30
1,2013,3,1140,240,1,204,150
0,4446,3,915,80,12,256,26
0,1591,4,380,80,15,212,33
1,1878,3,975,85,14,212,33
0,912,4,375,85,15,198,259
0,334,4,440,100,1,78,31
1,6363,3,1223,120,12,256,151
1,5485,3,822,72,6,14,281
1,903,3,1135,180,15,172,102
0,1952,3,585,101,5,59,14
0,825,3,420,75,15,43,179
